PROVIDUS BANK
0215,CORPORATE BRANCH
,,,,

Customer Name,SANITIZED COMPANY LIMITED
Account Number,0215/********/001/0013/000
NUBAN Number,******2534
Account Type,CURR.A/C -LOCAL CORPORATE - NAIRA
Account Nickname,SANITIZED COMPANY LIMITED CURRENT NGN
Statement of Account For  The Period From Date 01/04/2026 To Date 03/06/2026

,Transaction Description,All,Transaction Type,All
,Number of Debit Transaction(s),388,Number of Credit Transaction(s),11
,Total Debit Amount,"48,574,497.94",Total Credit Amount,"47,425,207.50"
,"Period Opening Balance ","1,288,486.27","Period Closing Balance ","139,195.83"


Transaction Date,Actual Transaction Date,Transaction Details,Value Date,Debit Amount,Credit Amount,Current Balance,DR/CR,DOC-NUM
01/04/2026,,Balance B/F,,,,"1,288,486.27",,
02/04/2026,02/04/2026,SANITIZED DEBIT TRANSACTION 001,02/04/2026,"285,291.89",,"1,003,194.38",,DOC-0001
02/04/2026,02/04/2026,SANITIZED DEBIT TRANSACTION 002,02/04/2026,"49,518.54",,"953,675.84",,DOC-0002
03/04/2026,03/04/2026,SANITIZED DEBIT TRANSACTION 003,02/04/2026,"99,161.32",,"854,514.52",,DOC-0003
04/04/2026,04/04/2026,SANITIZED DEBIT TRANSACTION 004,04/04/2026,"500,000.00",,"354,514.52",,DOC-0004
04/04/2026,04/04/2026,SANITIZED DEBIT TRANSACTION 005,04/04/2026,50.00,,"354,464.52",,DOC-0005
04/04/2026,04/04/2026,SANITIZED DEBIT TRANSACTION 006,04/04/2026,50.00,,"354,414.52",,DOC-0006
04/04/2026,04/04/2026,SANITIZED DEBIT TRANSACTION 007,04/04/2026,3.75,,"354,410.77",,DOC-0007
04/04/2026,04/04/2026,SANITIZED DEBIT TRANSACTION 008,04/04/2026,"70,750.63",,"283,660.14",,DOC-0008
06/04/2026,06/04/2026,SANITIZED DEBIT TRANSACTION 009,05/04/2026,"28,300.25",,"255,359.89",,DOC-0009
06/04/2026,06/04/2026,SANITIZED DEBIT TRANSACTION 010,06/04/2026,"200,000.00",,"55,359.89",,DOC-0010
06/04/2026,06/04/2026,SANITIZED DEBIT TRANSACTION 011,06/04/2026,50.00,,"55,309.89",,DOC-0011
06/04/2026,06/04/2026,SANITIZED DEBIT TRANSACTION 012,06/04/2026,50.00,,"55,259.89",,DOC-0012
06/04/2026,06/04/2026,SANITIZED DEBIT TRANSACTION 013,06/04/2026,3.75,,"55,256.14",,DOC-0013
07/04/2026,07/04/2026,SANITIZED DEBIT TRANSACTION 014,07/04/2026,"42,401.91",,"12,854.23",,DOC-0014
09/04/2026,09/04/2026,SANITIZED CREDIT TRANSACTION 015,09/04/2026,,"23,575,000.00","23,587,854.23",,DOC-0015
10/04/2026,10/04/2026,SANITIZED DEBIT TRANSACTION 016,10/04/2026,"500,000.00",,"23,087,854.23",,DOC-0016
10/04/2026,10/04/2026,SANITIZED DEBIT TRANSACTION 017,10/04/2026,50.00,,"23,087,804.23",,DOC-0017
10/04/2026,10/04/2026,SANITIZED DEBIT TRANSACTION 018,10/04/2026,50.00,,"23,087,754.23",,DOC-0018
10/04/2026,10/04/2026,SANITIZED DEBIT TRANSACTION 019,10/04/2026,3.75,,"23,087,750.48",,DOC-0019
11/04/2026,11/04/2026,SANITIZED DEBIT TRANSACTION 020,11/04/2026,"16,835.06",,"23,070,915.42",,DOC-0020
12/04/2026,12/04/2026,SANITIZED DEBIT TRANSACTION 021,12/04/2026,"700,000.00",,"22,370,915.42",,DOC-0021
